scripCode,tickSize,instType,lotSize,companyName,indices,groupName,industry,isinCode,expiry,strike,multiplier,optionType,tradingSymbol
157,5.0,EQ,0,APOLLO HOSPITALS ENT LTD,"20000,26002,26011,26012,26022,26029,26037,26040,26043,26045,26068,26072,26082,26085",NA,Hospitals & Medical Services,INE437A01024,,0.0,0.0,,APOLLOHOSP
159,5.0,SM,0,MILTON INDUSTRIES LIMITED,0,NA,NA,INE376Y01016,,0.0,0.0,,MILTON
163,5.0,EQ,0,APOLLO TYRES LIMITED,"26002,26007,26011,26033,26037,26043,26072,26076,26081,26082,26084,26085",NA,Tyres & Tubes,INE438A01022,,0.0,0.0,,APOLLOTYRE
166,5.0,EQ,0,ANDHRA PAPER LIMITED,"26011,26043",NA,Paper & Paper Products,INE435A01028,,0.0,0.0,,ANDHRAPAP
181,1.0,EQ,0,RAJDARSHAN INDUSTRIES LTD,0,NA,Mining/Minerals,INE610C01014,,0.0,0.0,,ARENTERP
184,5.0,EQ,0,TCPL PACKAGING LIMITED,"26011,26043",NA,Printing/Publishing/Stationery,INE822C01015,,0.0,0.0,,TCPLPACK
186,1.0,N5,0,NATIONAL HIGHWAYS AUTHORITY OF INDIA 8.50% SECURED REDEEMABLE NON-CONVERTIBLE TAX FREE BONDS -TRANCHE-I SERIES IIA,0,NA,NA,INE906B07DE1,,0.0,0.0,,NHAIN5
192,1.0,N6,0,NATIONAL HIGHWAYS AUTHORITY OF INDIA 8.75% SECURED REDEEMABLE NON-CONVERTIBLE TAX FREE BONDS- TRANCHE-I SERIES IIB,0,NA,NA,INE906B07DF8,,0.0,0.0,,NHAIN6
193,5.0,EQ,0,ARVIND LIMITED,"26011,26043,26082",NA,Textiles - Denim,INE034A01011,,0.0,0.0,,ARVIND
199,5.0,EQ,0,MAS FINANCIAL SERVICES LIMITED,"26011,26043,26082",NA,Non-Banking Financial Company (NBFC),INE348L01012,,0.0,0.0,,MASFIN
201,1.0,EQ,0,UNITED DRILLING TOOLS LIMITED,0,NA,Engineering - General,INE961D01019,,0.0,0.0,,UNIDT
203,5.0,EQ,0,ASHAPURA MINECHEM LIMITED,0,NA,Mining/Minerals,INE348A01023,,0.0,0.0,,ASHAPURMIN
206,1.0,EQ,0,ASHIMA LIMITED,0,NA,Textiles - Spinning - Cotton Blended,INE440A01010,,0.0,0.0,,ASHIMASYN
212,1.0,EQ,0,ASHOK LEYLAND LIMITED,"26002,26007,26011,26014,26022,26030,26033,26037,26043,26047,26056,26072,26076,26079,26081,26082,26084,26085",NA,Auto - LCVs/HCVs,INE208A01029,,0.0,0.0,,ASHOKLEY
220,1.0,EQ,0,INDIAN ENERGY EXCHANGE LIMITED,"26002,26011,26036,26043,26072,26080,26081,26082,26083",NA,Exchange Platform,INE022Q01020,,0.0,0.0,,IEX
236,5.0,EQ,0,ASIAN PAINTS LIMITED,"20000,26002,26011,26012,26037,26040,26043,26044,26058,26072,26082",NA,Paints/Varnishes,INE021A01026,,0.0,0.0,,ASIANPAINT
240,1.0,BE,0,AAKASH EXPLORATION SERVICES LIMITED,0,NA,NA,INE087Z01024,,0.0,0.0,,AAKASH
245,1.0,EQ,0,ARCHIDPLY DECOR LIMITED,0,NA,Plywood/Laminates,INE0CHO01012,,0.0,0.0,,ADL
250,1.0,GB,0,2.50% GOLDBONDS2025SR-III,0,NA,NA,IN0020170059,,0.0,0.0,,SGBOCT25
255,1.0,EQ,0,NIRAJ CEMENT STRUCTURALS LTD.,0,NA,Construction / Contracting & Engineering,INE368I01016,,0.0,0.0,,NIRAJ
263,5.0,EQ,0,ATUL LIMITED,"26002,26011,26043,26072,26076,26081,26082",NA,Agro Chemicals/Pesticides,INE100A01010,,0.0,0.0,,ATUL
270,5.0,EQ,0,CHEMCON SPECIALITY CHEMICALS LIMITED,"26011,26043",NA,Chemicals - Speciality,INE03YM01018,,0.0,0.0,,CHEMCON
275,5.0,EQ,0,AUROBINDO PHARMA LIMITED,"26002,26007,26011,26014,26028,26037,26043,26056,26068,26072,26076,26077,26079,26081,26082,26084,26088",NA,Pharmaceuticals,INE406A01037,,0.0,0.0,,AUROPHARMA
277,5.0,EQ,0,GENERAL INSURANCE CORPORATION OF INDIA,"26002,26011,26043,26076,26077,26081,26082",NA,Finance - Reinsurance,INE481Y01014,,0.0,0.0,,GICRE
278,5.0,EQ,0,AUTOMATIVE AXLES LIMITED,"26011,26043",NA,Auto Ancl - Dr. Trans & Steer - Others,INE449A01011,,0.0,0.0,,AUTOAXLES
304,1.0,GB,0,SOVEREIGN GOLD BOND SCHEME 2017-18 û SERIES III,0,NA,NA,IN0020170067,,0.0,0.0,,SGBOCT25IV
305,5.0,EQ,0,BAJAJ HOLDINGS & INVESTMENT LIMITED,"20004,26002,26011,26012,26037,26043,26082",NA,Holding Company,INE118A01012,,0.0,0.0,,BAJAJHLDNG
308,1.0,EQ,0,BAJAJ HINDUSTHAN SUGAR LIMITED,26082,NA,Sugar,INE306A01021,,0.0,0.0,,BAJAJHIND
312,5.0,EQ,0,TUBE INVESTMENTS OF INDIA LIMITED,"26002,26007,26011,26014,26037,26043,26076,26081,26082,26085",NA,Cycles & Accessories,INE974X01010,,0.0,0.0,,TIINDIA
317,5.0,EQ,0,BAJAJ AUTO FINANCE LIMITED,"20000,26002,26011,26012,26029,26037,26039,26043,26045,26072,26082",NA,Non-Banking Financial Company (NBFC),INE296A01024,,0.0,0.0,,BAJFINANCE
324,5.0,EQ,0,ANGEL ONE LIMITED,"26002,26011,26036,26038,26043,26077,26080,26081,26082,26083",NA,Finance & Investments,INE732I01013,,0.0,0.0,,ANGELONE
330,5.0,EQ,0,VALIANT ORGANICS LIMITED,"26011,26043",NA,Chemicals - Organic - Others,INE565V01010,,0.0,0.0,,VALIANTORG
335,5.0,EQ,0,BALKRISHNA INDUSTRIES LIMITED,"26002,26007,26011,26014,26022,26033,26037,26043,26072,26076,26081,26082,26084,26085",NA,Tyres & Tubes,INE787D01026,,0.0,0.0,,BALKRISIND
338,5.0,EQ,0,BALMER LAWRIE & COMPANY LIMITED,"26011,26043,26082",NA,Diversified,INE164A01016,,0.0,0.0,,BALMLAWRIE
341,5.0,EQ,0,BALRAMPUR CHINI MILLS LIMITED,"26002,26011,26024,26043,26072,26080,26081,26082",NA,Sugar,INE119A01028,,0.0,0.0,,BALRAMCHIN
342,5.0,EQ,0,COMPUTER AGE MANAGEMENT SERVICES LIMITED,"26002,26011,26036,26043,26080,26081,26082,26083",NA,Finance & Investments,INE596I01012,,0.0,0.0,,CAMS
347,1.0,EQ,0,BANARAS BEADS LIMITED,0,NA,Textiles - General,INE655B01011,,0.0,0.0,,BANABEAD
350,5.0,EQ,0,BANNARI AMMAN SUGARS LIMITED,0,NA,Sugar,INE459A01010,,0.0,0.0,,BANARISUG
355,1.0,GB,0,SOVEREIGN GOLD BOND SCHEME 2017-18 û SERIES V,0,NA,NA,IN0020170075,,0.0,0.0,,SGBOCT25V
357,5.0,EQ,0,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,"26002,26011,26036,26043,26080,26081,26082,26083",NA,Finance - Mutual Funds,INE298J01013,,0.0,0.0,,NAM-INDIA
366,1.0,BE,0,RAJ OIL MILLS LIMITED,0,NA,Edible Oils & Solvent Extraction,INE294G01026,,0.0,0.0,,ROML
368,5.0,EQ,0,BASF INDIA LIMITED,"26011,26043,26082",NA,Chemicals - Organic - Others,INE373A01013,,0.0,0.0,,BASF
371,5.0,EQ,0,BATA INDIA LIMITED,"26002,26011,26030,26043,26066,26072,26076,26081,26082",NA,Footwears,INE176A01028,,0.0,0.0,,BATAINDIA
380,5.0,EQ,0,BOMBAY BURMAH TRADING CORPORATION LIMITED,"26002,26011,26043,26080,26081,26082",NA,Tea & Coffee,INE050A01025,,0.0,0.0,,BBTC
381,1.0,EQ,0,SINTERCOM INDIA LIMITED,0,NA,NA,INE129Z01016,,0.0,0.0,,SINTERCOM
383,5.0,EQ,0,BHARAT ELECTRONICS LIMITED,"20004,26002,26011,26012,26026,26037,26038,26043,26046,26058,26072,26077,26082,26084",NA,Aerospace & Defense,INE263A01024,,0.0,0.0,,BEL
385,5.0,EQ,0,MAHINDRA LOGISTICS LIMITED,"26011,26043,26082",NA,Logistics - Warehousing/Supply Chain/Others,INE766P01016,,0.0,0.0,,MAHLOG
395,5.0,EQ,0,BEML LIMITED,"26002,26011,26043,26080,26081,26082",NA,Auto - Construction Vehicles,INE258A01016,,0.0,0.0,,BEML
398,1.0,GB,0,2.50% GOLDBONDS2025SR- VI,0,NA,NA,IN0020170083,,0.0,0.0,,SGBNOV25VI
399,1.0,EQ,0,THE NEW INDIA ASSURANCE COMPANY LIMITED,"26002,26076,26081,26082",NA,Finance - Non Life Insurance,INE470Y01017,,0.0,0.0,,NIACL
400,1.0,BE,0,GLOBE TEXTILES INDIA LTD,0,NA,NA,INE581X01021,,0.0,0.0,,GLOBE
404,5.0,EQ,0,BERGER PAINTS INDIA LIMITED,"20004,26002,26011,26012,26037,26043,26058,26072,26082",NA,Paints/Varnishes,INE463A01038,,0.0,0.0,,BERGEPAINT
419,1.0,EQ,0,BHANSALI ENGINEERING POLYMERS LIMITED,"26011,26043,26082",NA,Petrochem - Polymers,INE922A01025,,0.0,0.0,,BEPL
422,5.0,EQ,0,BHARAT FORGE LIMITED,"26002,26007,26011,26014,26022,26033,26037,26043,26072,26076,26079,26081,26082,26084",NA,Forgings,INE465A01025,,0.0,0.0,,BHARATFORG
425,5.0,EQ,0,KHADIM INDIA LIMITED,0,NA,Footwears,INE834I01025,,0.0,0.0,,KHADIM
426,1.0,EQ,0,BHARAT GEARS LIMITED,0,NA,Auto Ancl - Gears & Drive,INE561C01019,,0.0,0.0,,BHARATGEAR
436,5.0,EQ,0,IFGL REFRACTORIES LTD,0,NA,Refractories,INE133Y01011,,0.0,0.0,,IFGLEXPOR
438,5.0,EQ,0,BHARAT HEAVY ELECTRICALS LIMITED,"26002,26007,26011,26014,26026,26037,26043,26044,26072,26076,26077,26081,26082,26084,26085",NA,Engineering - Heavy,INE257A01026,,0.0,0.0,,BHEL
445,5.0,EQ,0,5PAISA CAPITAL LIMITED,"26011,26043",NA,Finance & Investments,INE618L01018,,0.0,0.0,,5PAISA
458,1.0,GB,0,2.50% GOLDBONDS2025SR-VII,0,NA,NA,IN0020170091,,0.0,0.0,,SGBNOV25
467,5.0,EQ,0,HDFC LIFE INSURANCE COMPANYLTD,"20000,26002,26011,26012,26029,26037,26039,26043,26072,26082",NA,Finance - Life Insurance,INE795G01014,,0.0,0.0,,HDFCLIFE
471,1.0,EQ,0,OSWAL GREENTECH LIMITED,0,NA,Finance & Investments,INE143A01010,,0.0,0.0,,OSWALGREEN
474,5.0,EQ,0,3M INDIA LIMITED,"26002,26011,26030,26043,26076,26081,26082",NA,Diversified,INE470A01017,,0.0,0.0,,3MINDIA
477,1.0,EQ,0,BIRLA CABLE LIMITED,0,NA,Telecom Cables,INE800A01015,,0.0,0.0,,BIRLACABLE
480,5.0,EQ,0,BIRLA CORPORATION LIMITED,"26002,26011,26043,26080,26081,26082,26085",NA,Cement,INE340A01012,,0.0,0.0,,BIRLACORPN
482,5.0,SM,0,ANI INTEGRATED SERVICES LIMITED,0,NA,NA,INE635Y01015,,0.0,0.0,,AISL
489,5.0,EQ,0,ICE MAKE REFRIGERATION LIMITED,0,NA,NA,INE520Y01019,,0.0,0.0,,ICEMAKE
495,5.0,EQ,0,BLUE DART EXPRESS LIMITED,"26002,26011,26043,26080,26081,26082",NA,Couriers,INE233B01017,,0.0,0.0,,BLUEDART
497,1.0,GB,0,2.50%GOLDBONDS2025SR-VIII,0,NA,NA,IN0020170109,,0.0,0.0,,SGBNOV258
498,1.0,YI,0,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED SEC RED NCD 9.03% SR. II,0,NA,NA,INE721A07NU1,,0.0,0.0,,SRTRANSFINYI
507,5.0,SM,0,PULZ ELECTRONICS LIMITED,0,NA,NA,INE335X01014,,0.0,0.0,,PULZ
509,5.0,EQ,0,MAZAGON DOCK SHIPBUILDERS LIMITED,"26002,26007,26037,26076,26081,26082",NA,Ship - Docks/Breaking/Repairs,INE249Z01012,,0.0,0.0,,MAZDOCK
513,1.0,EQ,0,BOMBAY DYEING & MANUFACTURING COMPANY LIMITED,26082,NA,Textiles - Processing/Texturising,INE032A01023,,0.0,0.0,,BOMDYEING
522,1.0,EQ,0,BHARAT 22 ETF,"26011,26043,26048",NA,NA,INF109KB15Y7,,0.0,0.0,,ICICIB22
526,5.0,EQ,0,BHARAT PETROLEUM CORPORATION LIMITED,"20000,26002,26011,26012,26022,26025,26026,26037,26038,26041,26043,26044,26067,26072,26082,26085",NA,Refineries,INE029A01011,,0.0,0.0,,BPCL
527,5.0,EQ,0,UTI ASSET MANAGEMENT COMPANY LIMITED,"26002,26011,26043,26080,26081,26082",NA,Finance - Mutual Funds,INE094J01016,,0.0,0.0,,UTIAMC
540,1.0,GB,0,2.50%GOLDBONDS 2025SR-IX,0,NA,NA,IN0020170117,,0.0,0.0,,SGBNOV25IX
547,5.0,EQ,0,BRITANNIA INDUSTRIES LIMITED,"20000,26002,26011,26012,26024,26030,26037,26038,26040,26043,26047,26055,26058,26072,26082",NA,Food Processing & Packaging,INE216A01030,,0.0,0.0,,BRITANNIA
553,1.0,EQ,0,RELIANCE INFRASTRUCTURE LIMITE,"26044,26082",NA,Power - Generation/Distribution,INE036A01016,,0.0,0.0,,RELINFRA
559,1.0,EQ,0,BSL LIMITED,0,NA,Textiles - Weaving,INE594B01012,,0.0,0.0,,BSL
573,5.0,SM,0,FELIX INDUSTRIES LIMITED,0,NA,NA,INE901X01013,,0.0,0.0,,FELIX
578,5.0,EQ,0,LIKHITHA INFRASTRUC LTD,"26011,26043",NA,Construction / Contracting & Engineering,INE060901027,,0.0,0.0,,LIKHITHA
583,5.0,EQ,0,CANFIN HOMES LIMITED,"26002,26011,26036,26043,26072,26080,26081,26082",NA,Finance - Housing,INE477A01020,,0.0,0.0,,CANFINHOME
591,1.0,N8,0,INDIAN RAILWAY FINANCE CORPORATION LIMITED - TAX FREE SECURED REDEEMABLE NON-CONVERTIBLE BONDS- TRANCHE-1 SERIES IIA:8.40% P.A.,0,NA,NA,INE053F07660,,0.0,0.0,,IRFCN8
592,5.0,EQ,0,GRAPHITE INDIA LIMITED,"26002,26011,26036,26043,26080,26081,26082",NA,Electrodes - Graphite,INE371A01025,,0.0,0.0,,GRAPHITE
595,5.0,EQ,0,CARBORUNDUM UNIVERSAL LIMITED,"26002,26011,26043,26076,26081,26082",NA,Abrasives And Grinding Wheels,INE120A01034,,0.0,0.0,,CARBORUNIV
603,1.0,NA,0,"INDIAN RAILWAY FINANCE CORPORATION LIMITED - TAX FREE SECURED  REDEEMABLE NON-CONVERTIBLE  BONDS- TRANCHE-1 SERIES IIB: 8.65%  P.A. (IF HELD BY CATEGORY I, II AND III INVESTORS, THE COUPON RATE SHALL BE REDUCED BY 25BPS)",0,NA,NA,INE053F07686,,0.0,0.0,,IRFCNA
619,5.0,EQ,0,CENTURY ENKA LIMITED,"26011,26043",NA,Textiles - Manmade Fibre - PFY/PSF,INE485A01015,,0.0,0.0,,CENTENKA
623,1.0,GB,0,2.50%GOLDBONDS 2025 SR-X,0,NA,NA,IN0020170125,,0.0,0.0,,SGBDEC25
625,5.0,EQ,0,CENTURY TEXTILES & INDUSTRIES LIMITED,"26002,26011,26036,26043,26080,26081,26082,26083,26084",NA,Paper & Paper Products,INE055A01016,,0.0,0.0,,CENTURYTEX
628,1.0,EQ,0,CESC LIMITED,"26002,26011,26036,26043,26080,26081,26082,26083,26085",NA,Power - Generation/Distribution,INE486A01021,,0.0,0.0,,CESC
634,5.0,EQ,0,IGARASHI MOTORS INDIA LIMITED,"26011,26043",NA,Electric Equipment - General,INE188B01013,,0.0,0.0,,IGARASHI
637,5.0,EQ,0,CHAMBAL FERTILISERS & CHEMICALS LIMITED,"26002,26011,26036,26043,26072,26080,26081,26082,26084",NA,Fertilisers,INE085A01013,,0.0,0.0,,CHAMBLFERT
641,1.0,EQ,0,DILIGENT MEDIA CORPORATION LIMITED,0,NA,Entertainment & Media,INE016M01021,,0.0,0.0,,DNAMEDIA
643,1.0,BE,0,SUUMAYA INDUSTRIES LIMITED,0,NA,NA,INE591Q01016,,0.0,0.0,,SUULD
666,5.0,SM,0,INNOVANA THINKLABS LIMITED,0,NA,NA,INE403Y01018,,0.0,0.0,,INNOVANA
676,5.0,EQ,0,EXIDE INDUSTRIES LIMITED,"26002,26011,26033,26036,26043,26072,26080,26081,26082,26083,26084,26085",NA,Auto Ancl - Batteries,INE302A01020,,0.0,0.0,,EXIDEIND
685,5.0,EQ,0,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"20004,26002,26011,26012,26037,26039,26043,26072,26082",NA,Non-Banking Financial Company (NBFC),INE121A01024,,0.0,0.0,,CHOLAFIN
694,5.0,EQ,0,CIPLA LIMITED,"20000,26002,26011,26012,26028,26037,26043,26044,26047,26068,26072,26082,26084",NA,Pharmaceuticals,INE059A01026,,0.0,0.0,,CIPLA
701,1.0,EQ,0,HEMISPHERE PROPERTIES INDIA LIMITED,"26011,26043,26082",NA,Realty,INE0AJG01018,,0.0,0.0,,HEMIPROP
703,5.0,EQ,0,DIC INDIA LIMITED,0,NA,Printing/Publishing/Stationery,INE303A01010,,0.0,0.0,,DICIND
714,5.0,EQ,0,SHALBY LIMITED,"26011,26043",NA,Hospitals & Medical Services,INE597J01018,,0.0,0.0,,SHALBY
715,5.0,EQ,0,HEUBACH COLORANTS INDIA LTD,0,NA,Dyes & Pigments,INE492A01029,,0.0,0.0,,HEUBACHIND
716,1.0,BE,0,SHRADHA INFRAPROJECTS LIMITED,0,NA,NA,INE715Y01023,,0.0,0.0,,SHRADHA
722,1.0,EQ,0,SBI ETF PRIVATE BANK,26048,NA,NA,INF200KA1S22,,0.0,0.0,,SBIETFPB
729,1.0,GB,0,2.50%GOLDBONDS 2025 SR-XI,0,NA,NA,IN0020170133,,0.0,0.0,,SGBDEC25XI
739,5.0,EQ,0,COROMANDEL INTERNATIONAL LIMITED,"26002,26011,26043,26072,26076,26081,26082,26084",NA,Fertilisers,INE169A01031,,0.0,0.0,,COROMANDEL
740,1.0,EQ,0,SBIAMC - SBIETFIT,26048,NA,NA,INF200KA1S14,,0.0,0.0,,SBIETFIT
742,5.0,EQ,0,COSMO FIRST LIMITED,"26011,26043",NA,Packaging & Containers,INE757A01017,,0.0,0.0,,COSMOFIRST
757,5.0,EQ,0,CRISIL LIMITED,"26002,26011,26030,26043,26076,26081,26082",NA,Services - Others,INE007A01025,,0.0,0.0,,CRISIL
760,5.0,EQ,0,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,"26002,26007,26011,26037,26043,26076,26081,26082",NA,Electric Equipment - General,INE067A01029,,0.0,0.0,,CGPOWER
772,5.0,EQ,0,DABUR INDIA LIMITED,"20004,26002,26011,26012,26024,26037,26040,26043,26058,26072,26082",NA,Personal Care,INE016A01026,,0.0,0.0,,DABUR
781,5.0,EQ,0,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED,"26011,26043,26082",NA,Sugar,INE495A01022,,0.0,0.0,,DALMIASUG
795,1.0,GB,0,2.50%GOLDBONDS2025 SR XII,0,NA,NA,IN0020170141,,0.0,0.0,,SGBDEC2512
804,1.0,EQ,0,SHIVA TEXYARN LIMITED,0,NA,Textiles - Spinning - Cotton Blended,INE705C01020,,0.0,0.0,,SHIVATEX
805,1.0,EQ,0,DCM LIMITED,0,NA,Castings/Foundry,INE498A01018,,0.0,0.0,,DCM
809,1.0,EQ,0,BOMBAY SUPER HYBRID SEEDS LIMITED,0,NA,NA,INE032Z01020,,0.0,0.0,,BSHSL
811,5.0,EQ,0,DCM SHRIRAM LIMITED,"26002,26011,26043,26080,26081,26082",NA,Diversified,INE499A01024,,0.0,0.0,,DCMSHRIRAM
817,1.0,EQ,0,DCW LIMITED,"26011,26043",NA,Petrochem - Others,INE500A01029,,0.0,0.0,,DCW
827,5.0,EQ,0,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LIMITED,"26002,26011,26043,26080,26081,26082",NA,Fertilisers,INE501A01019,,0.0,0.0,,DEEPAKFERT
828,1.0,BE,0,BANKA BIOLOO LIMITED,0,NA,NA,INE862Y01015,,0.0,0.0,,BANKA
834,1.0,GB,0,2.50% SOVEREIGN GOLD BONDS -SGBOC28VII,0,NA,NA,IN0020200203,,0.0,0.0,,SGBOC28VII
847,5.0,SM,0,SMVD POLY PACK LIMITED,0,NA,NA,INE702Y01013,,0.0,0.0,,SMVD
857,1.0,EQ,0,DHAMPUR SUGAR MILLS LIMITED,"26011,26043",NA,Sugar,INE041A01016,,0.0,0.0,,DHAMPURSUG
862,1.0,GB,0,2.50%GOLDBONDS2025SR-XIII,0,NA,NA,IN0020170158,,0.0,0.0,,SGBDEC2513
880,1.0,BE,0,ASTRON PAPER & BOARD MILL LIMITED,0,NA,Paper & Paper Products,INE646X01014,,0.0,0.0,,ASTRON
881,5.0,EQ,0,DR. REDDYS LABORATORIES LIMITED,"20000,26002,26011,26012,26028,26037,26043,26044,26055,26068,26072,26082,26084",NA,Pharmaceuticals,INE089A01023,,0.0,0.0,,DRREDDY
896,1.0,EQ,0,KHAITAN CHEMICALS & FERTILIZERS LIMITED,"26011,26043",NA,Fertilisers,INE745B01028,,0.0,0.0,,KHAICHEM
910,5.0,EQ,0,EICHER MOTORS LIMITED,"20000,26002,26011,26012,26033,26037,26040,26043,26047,26058,26072,26082,26084",NA,Auto - 2 & 3 Wheelers,INE066A01021,,0.0,0.0,,EICHERMOT
913,1.0,EQ,0,EQUITAS SMALL FINANCE BANK LIMITED,"26002,26011,26036,26043,26080,26081,26082,26083",NA,Finance - Banks - Private Sector,INE063P01018,,0.0,0.0,,EQUITASBNK
916,5.0,EQ,0,EID PARRY INDIA LIMITED,"26002,26011,26043,26080,26081,26082",NA,Fertilisers,INE126A01031,,0.0,0.0,,EIDPARRY
919,5.0,EQ,0,EIH LIMITED,"26002,26011,26043,26080,26081,26082",NA,Hotels / Resorts & Restaurants,INE230A01023,,0.0,0.0,,EIHOTEL
926,5.0,EQ,0,ORCHID PHARMA LTD,0,NA,Pharmaceuticals,INE191A01027,,0.0,0.0,,ORCHPHARMA
928,1.0,EQ,0,ELECTROSTEEL CASTINGS LIMITED,26082,NA,Castings/Foundry,INE086A01029,,0.0,0.0,,ELECTCAST
936,5.0,EQ,0,D P ABHUSHAN LIMITED,0,NA,Gems / Jewellery & Precious Metails,INE266Y01019,,0.0,0.0,,DPABHUSHAN
937,5.0,EQ,0,ELGI EQUIPMENTS LIMITED,"26002,26011,26043,26080,26081,26082,26084,26085",NA,Compressors,INE285A01027,,0.0,0.0,,ELGIEQUIP
940,5.0,EQ,0,PROCTER & GAMBLE HEALTH LIMITED,"26011,26043,26088",NA,Pharmaceuticals,INE199A01012,,0.0,0.0,,PGHL
945,1.0,GB,0,2.50%GOLDBONDS2026SR-XIV,0,NA,NA,IN0020170166,,0.0,0.0,,SGBJAN26
955,5.0,EQ,0,ESAB INDIA LIMITED,"26011,26043",NA,Welding Equipments,INE284A01012,,0.0,0.0,,ESABINDIA
958,5.0,EQ,0,ESCORTS KUBOTA LIMITED,"26002,26007,26011,26014,26030,26037,26043,26072,26076,26081,26082",NA,Auto - Tractors,INE042A01014,,0.0,0.0,,ESCORTS
967,1.0,EQ,0,SUBEX LIMITED,"26011,26043",NA,IT Consulting & Software,INE754A01055,,0.0,0.0,,SUBEXLTD
981,1.0,EQ,0,EPL LIMITED,"26002,26011,26043,26080,26081,26082",NA,Packaging & Containers,INE255A01020,,0.0,0.0,,EPL
993,5.0,EQ,0,EVEREST INDUSTRIES LIMITED,"26011,26043",NA,Cement Products,INE295A01018,,0.0,0.0,,EVERESTIND
